	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
log_titer_intercept[11]	0.01846	0.01312	992.53658	1585.25739	1.00162
log_titer_intercept[12]	0.00717	0.0051	2201.73189	2327.55606	1.00191
log_titer_intercept[13]	0.00725	0.00515	1917.1268	2266.31442	1.00036
log_titer_intercept[14]	0.0071	0.00503	2043.31501	2576.85211	1.00109
log_titer_intercept[15]	0.02121	0.01514	2029.08307	2514.41762	1.00268
log_titer_intercept[16]	0.02136	0.0151	1947.26193	2450.49894	1.00085
log_titer_intercept[17]	0.02099	0.01498	2094.62858	2295.94719	1.00108
log_titer_intercept[18]	0.02236	0.01587	1816.18275	2434.03103	1.00138
log_titer_intercept[19]	0.02281	0.01613	1656.81284	2483.13249	1.00137
log_titer_intercept[20]	0.02366	0.01673	1566.73168	2586.52092	1.00086
log_titer_intercept[21]	0.02186	0.01568	1882.89045	2328.21795	1.00191
log_titer_intercept[22]	0.02046	0.01455	2180.38448	2567.75842	1.00177
log_titer_intercept[23]	0.02116	0.01506	2083.71107	2244.839	1.0006
log_titer_intercept[24]	0.02159	0.01537	1877.37984	2152.95792	1.00178
log_titer_intercept[25]	0.02083	0.01473	2095.8434	2661.73602	1.0016
log_titer_intercept[26]	0.02089	0.01483	2057.2664	2345.25768	1.00118
log_titer_intercept[27]	0.01284	0.00909	1337.65632	2224.86768	1.00173
log_titer_intercept[28]	0.01231	0.00872	1317.1853	2309.73536	1.00093
log_titer_intercept[29]	0.01246	0.00885	1334.65271	2248.47804	1.00108
log_titer_intercept[30]	0.02122	0.01512	1953.55359	2085.64896	1.00098
log_titer_intercept[31]	0.02162	0.01542	1897.58471	2191.56353	1.00247
log_titer_intercept[32]	0.02142	0.01539	1964.86858	2336.42057	1.00057
log_titer_intercept[33]	0.02169	0.01537	1919.48581	2267.33698	1.00045
log_titer_intercept[34]	0.02126	0.01529	1997.78026	2248.49674	1.00054
log_titer_intercept[35]	0.01916	0.01383	2412.77562	2172.90832	1.00133
log_titer_intercept_decentered[0]	0.01533	0.01084	1529.77813	2095.15891	1.00114
log_titer_intercept_decentered[1]	0.01619	0.01145	1444.09312	2308.52855	1.0008
log_titer_intercept_decentered[2]	0.0131	0.01042	3417.37851	2925.63654	1.00062
log_titer_intercept_decentered[3]	0.0135	0.01614	5377.24618	2847.69984	1.00058
log_titer_intercept_decentered[4]	0.01391	0.01582	5369.79954	3492.91551	1.00164
log_titer_intercept_decentered[5]	0.01339	0.01692	5877.25175	2913.51605	0.99954
log_titer_intercept_decentered[6]	0.01338	0.01504	5273.15112	2880.895	1.00035
log_titer_intercept_decentered[7]	0.01361	0.0164	5445.06486	2603.94111	1.00069
log_titer_intercept_decentered[8]	0.01363	0.01668	5178.81949	3037.70315	0.99998
log_titer_intercept_decentered[9]	0.00998	0.00705	2011.68148	2447.23254	1.00169
log_titer_intercept_decentered[10]	0.01215	0.00864	2324.44165	2756.01861	1.00073
log_titer_intercept_decentered[11]	0.01054	0.00746	1798.12032	2550.31133	1.00126
log_titer_intercept_decentered[12]	0.0163	0.01153	1142.44715	2280.96238	1.00243
log_titer_intercept_decentered[13]	0.01602	0.01133	1099.46974	2096.26939	1.00301
log_titer_intercept_decentered[14]	0.01615	0.01142	1088.83604	2166.9415	1.002
log_titer_intercept_decentered[15]	0.01288	0.01638	6138.43374	3047.008	1.00235
log_titer_intercept_decentered[16]	0.01449	0.01501	4639.49778	3344.12736	1.00134
log_titer_intercept_decentered[17]	0.01309	0.0156	5725.82222	2739.31218	0.99961
log_titer_intercept_decentered[18]	0.01314	0.01559	5435.62877	2755.10205	1.00188
log_titer_intercept_decentered[19]	0.01477	0.01571	4120.51767	2721.79855	1.00014
log_titer_intercept_decentered[20]	0.0136	0.01481	5009.87342	2796.79988	1.00089
log_titer_intercept_decentered[21]	0.01253	0.01775	6396.72256	3022.9635	1.00075
log_titer_intercept_decentered[22]	0.01505	0.01826	4567.00414	2900.10109	1.00143
log_titer_intercept_decentered[23]	0.01338	0.01784	5795.98062	2887.54768	1.00043
log_titer_intercept_decentered[24]	0.01422	0.01548	4840.35005	3304.58392	1.00163
log_titer_intercept_decentered[25]	0.01339	0.01813	5542.85188	2816.15667	1.00273
log_titer_intercept_decentered[26]	0.01382	0.01556	5221.84021	3179.41807	1.00148
log_titer_intercept_decentered[27]	0.01276	0.00902	1612.84338	2187.26061	1.00152
log_titer_intercept_decentered[28]	0.01156	0.00818	1570.3575	1962.03534	1.00297
log_titer_intercept_decentered[29]	0.01233	0.00872	1558.22543	2352.35292	1.00236
log_titer_intercept_decentered[30]	0.01374	0.01514	5290.67017	2939.82466	1.0004
log_titer_intercept_decentered[31]	0.01395	0.01623	4990.27199	2917.98892	1.00229
log_titer_intercept_decentered[32]	0.01363	0.01608	5224.89131	2689.49934	0.99933
log_titer_intercept_decentered[33]	0.01505	0.01549	4545.09312	3111.08924	1.00018
log_titer_intercept_decentered[34]	0.01325	0.01588	5794.74432	3137.63418	0.99982
log_titer_intercept_decentered[35]	0.01426	0.01743	5060.39645	2763.44712	1.00028
log_titer_intercept_loc[0]	0.01842	0.01305	817.37221	1301.23733	1.00573
log_titer_intercept_scale[0]	0.00256	0.00181	2105.49179	2737.05769	1.00181
predicted_log_titer[0]	0.00443	0.00313	6463.43121	2786.03289	1.00249
predicted_log_titer[1]	0.00377	0.00266	5322.75791	3571.75423	0.99995
predicted_log_titer[2]	0.00992	0.00921	4623.97679	2702.87148	1.00115
