	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
decay_rate[0]	0.01687	0.01193	1060.9206	1690.57078	1.00186
halflife[0]	0.00045	0.00032	1060.9206	1690.57078	1.00186
initial_log_titer[0]	0.02491	0.01762	1172.54941	1688.9302	1.00174
initial_log_titer[1]	0.02597	0.01837	1063.0966	1784.5242	1.00152
initial_log_titer[2]	0.02591	0.01832	1612.71344	2333.92031	1.00135
initial_log_titer[3]	0.02007	0.01444	3507.47622	2776.22107	1.00029
initial_log_titer[4]	0.0234	0.01655	2731.49621	2772.58559	1.00193
initial_log_titer[5]	0.02457	0.0176	2515.17621	2592.38235	0.99976
initial_log_titer[6]	0.02185	0.01584	3040.19584	2487.80105	1.00168
initial_log_titer[7]	0.02353	0.01664	2755.41287	2979.77309	1.0022
initial_log_titer[8]	0.02312	0.01651	2681.08003	3060.61682	1.00074
initial_log_titer[9]	0.01706	0.01206	1259.70944	2040.87904	1.00158
initial_log_titer[10]	0.01974	0.01396	1664.1495	2371.4858	1.00071
initial_log_titer[11]	0.01732	0.01225	1216.59933	1942.49414	1.00058
initial_log_titer[12]	0.00663	0.00469	2641.92697	3071.77198	1.00081
initial_log_titer[13]	0.00682	0.00483	2339.74669	2635.11385	1.00007
initial_log_titer[14]	0.00664	0.00471	2427.1402	3162.76514	1.00065
initial_log_titer[15]	0.02229	0.016	2900.00351	2990.41495	1.00305
initial_log_titer[16]	0.02451	0.01733	2502.08836	2625.90551	1.00053
initial_log_titer[17]	0.02271	0.01606	3049.82679	3038.36396	1.00154
initial_log_titer[18]	0.02718	0.01922	1915.52256	2090.50821	1.00067
initial_log_titer[19]	0.0257	0.01823	2114.96158	2540.75086	1.00097
initial_log_titer[20]	0.02711	0.01917	1890.25098	2380.6339	1.0012
initial_log_titer[21]	0.02224	0.01573	3003.11086	2680.44737	1.00049
initial_log_titer[22]	0.02192	0.0155	3126.34259	3115.55916	1.0018
initial_log_titer[23]	0.02243	0.01623	2935.32553	2781.13122	1.00096
initial_log_titer[24]	0.02322	0.01642	2750.37067	2952.64028	1.00001
initial_log_titer[25]	0.02198	0.01555	3194.19604	2833.94416	1.00001
initial_log_titer[26]	0.02257	0.01596	3017.38741	3040.96981	0.99997
initial_log_titer[27]	0.01192	0.00843	1500.55439	2596.42158	1.00167
