	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
decay_rate[0]	0.00608	0.0043	1840.29493	2134.43246	1.0026
halflife[0]	0.00014	0.0001	1840.29493	2134.43246	1.0026
initial_log_titer[0]	0.0083	0.00587	1946.48103	2270.94542	1.00205
initial_log_titer[1]	0.0082	0.0058	2041.62037	2774.26358	1.00158
initial_log_titer[2]	0.00837	0.00592	2036.8453	2674.01658	1.00109
initial_log_titer[3]	0.00765	0.00543	2584.24645	2979.88734	0.99998
initial_log_titer[4]	0.00734	0.00519	2824.17842	2905.09849	1.00103
initial_log_titer[5]	0.00755	0.00534	2741.95967	2562.62162	1.00144
initial_log_titer[6]	0.0075	0.0053	2658.77751	2632.05078	1.00046
initial_log_titer[7]	0.00702	0.00497	3033.42507	3062.07864	1.00109
initial_log_titer[8]	0.00726	0.00513	2683.14474	2561.72001	1.00064
initial_log_titer[9]	0.00676	0.00479	2072.26069	2589.74727	1.00165
initial_log_titer[10]	0.00661	0.00468	2282.25593	2422.92388	1.00099
initial_log_titer[11]	0.00642	0.00454	2262.26453	2525.16389	1.00116
initial_log_titer[12]	0.00415	0.00293	4212.50357	2825.52933	1.00123
initial_log_titer[13]	0.00403	0.00285	3884.51075	2831.08236	1.00116
initial_log_titer[14]	0.00384	0.00272	4496.13399	3116.9581	0.99995
initial_log_titer[15]	0.00679	0.0048	3211.64161	2966.81681	1.00472
initial_log_titer[16]	0.00736	0.0052	2801.49557	2686.06633	0.9999
initial_log_titer[17]	0.00788	0.00557	2424.9591	2966.67781	1.00081
initial_log_titer[18]	0.00757	0.00535	2736.52161	2767.19678	1.00109
initial_log_titer[19]	0.00727	0.00514	2868.84482	2813.26309	1.00098
initial_log_titer[20]	0.00679	0.0048	3214.41713	3015.74236	1.00004
initial_log_titer[21]	0.00716	0.00507	2884.99272	2852.46319	1.00063
initial_log_titer[22]	0.00693	0.00492	3168.85428	3046.02864	1.0008
initial_log_titer[23]	0.00731	0.00521	2785.23294	2880.80631	1.00164
initial_log_titer[24]	0.0076	0.00538	2570.02328	2613.2309	1.00095
initial_log_titer[25]	0.00714	0.00505	2978.28422	3169.93776	1.00264
