	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
decay_rate[0]	0.00521	0.00369	2860.93554	3021.5924	1.00026
halflife[0]	0.0001	7e-05	2860.93554	3021.5924	1.00022
initial_log_titer[0]	0.00686	0.00485	3051.65441	2709.72635	0.99972
initial_log_titer[1]	0.00717	0.00507	2951.28763	3007.41157	1.00001
initial_log_titer[2]	0.00691	0.00489	3166.8574	3016.22556	1.00126
initial_log_titer[3]	0.00619	0.00438	3934.06044	3213.64399	1.00052
initial_log_titer[4]	0.00631	0.00448	4001.16848	3448.07827	1.00028
initial_log_titer[5]	0.00596	0.00422	4483.99641	3310.28849	0.99979
initial_log_titer[6]	0.00634	0.00448	4009.57238	3213.97919	1.00127
initial_log_titer[7]	0.00612	0.00433	4106.17472	3236.92986	1.00052
initial_log_titer[8]	0.00679	0.0048	3448.34969	2886.27111	1.00137
initial_log_titer[9]	0.00563	0.00398	3328.42621	2905.23467	1.00015
initial_log_titer[10]	0.00564	0.00399	3289.81677	3344.02365	1.00149
initial_log_titer[11]	0.00546	0.00387	3552.34997	2967.71202	1.00067
initial_log_titer[12]	0.00389	0.00275	4711.89658	3501.32825	0.99983
initial_log_titer[13]	0.00358	0.00254	5072.14351	3025.75577	1.00102
initial_log_titer[14]	0.00381	0.0027	4596.94903	3381.1303	1.00099
initial_log_titer[15]	0.00619	0.00438	4042.8969	2981.23989	1.00203
initial_log_titer[16]	0.0066	0.00467	3609.70055	3408.48416	1.00155
initial_log_titer[17]	0.00651	0.0046	3775.54882	3193.6912	0.99965
initial_log_titer[18]	0.00633	0.00448	4143.992	2549.6301	1.00374
initial_log_titer[19]	0.00633	0.00448	3897.26158	2861.20571	1.00011
initial_log_titer[20]	0.00606	0.00429	4317.82628	3277.42047	0.99945
initial_log_titer[21]	0.00626	0.00443	4121.35527	3087.08844	1.00003
initial_log_titer[22]	0.00629	0.00445	4074.3483	2791.63594	1.00086
initial_log_titer[23]	0.00654	0.00463	3719.14358	2835.54357	1.00052
initial_log_titer[24]	0.00628	0.00444	3992.6483	3116.08765	0.9994
initial_log_titer[25]	0.00642	0.00454	3892.30643	3437.38825	0.99995
initial_log_titer[26]	0.00607	0.00432	4325.29551	3099.22004	0.99998
initial_log_titer[27]	0.00487	0.00344	4254.39507	3263.64264	1.00106
initial_log_titer[28]	0.00477	0.00339	3826.06322	3068.3474	1.00076
initial_log_titer[29]	0.00497	0.00351	3804.04233	3110.71222	1.0006
initial_log_titer[30]	0.00631	0.00446	4096.38536	2847.44367	1.00122
initial_log_titer[31]	0.00619	0.00438	4055.328	3110.26165	1.00023
initial_log_titer[32]	0.00669	0.00473	3530.79695	2799.81692	0.99974
initial_log_titer[33]	0.00621	0.0044	4331.85288	3217.76292	1.00027
initial_log_titer[34]	0.00615	0.00437	4092.71114	3049.80585	1.00179
initial_log_titer[35]	0.0064	0.00453	4095.25651	2858.06295	1.00097
log_halflife[0]	0.00134	0.00095	2860.93554	3021.5924	1.00024
log_titer[0]	0.00372	0.00263	5461.27819	3093.56271	1.00197
log_titer[1]	0.00368	0.0026	4999.56859	3066.52726	1.00012
log_titer[2]	0.0045	0.00318	4522.94556	3126.5213	1.0005
log_titer[3]	0.04758	0.03365	2941.29173	2765.02967	1.00067
log_titer[4]	0.04772	0.03375	2872.89806	2634.2648	1.00023
log_titer[5]	0.04817	0.03407	2874.2118	2885.96566	1.00026
log_titer[6]	0.07375	0.05215	2874.35196	2884.40802	1.0003
log_titer[7]	0.07385	0.05223	2887.62152	2929.32937	1.00038
log_titer[8]	0.07341	0.05191	2911.64205	2907.89214	1.00064
log_titer[9]	0.00259	0.00183	5490.76933	3086.23847	1.00051
log_titer[10]	0.00242	0.00171	5242.0385	3364.57808	1.00088
log_titer[11]	0.00256	0.00181	5609.24331	3182.30167	1.00053
log_titer[12]	0.00293	0.00207	5951.68338	3197.93291	0.99975
log_titer[13]	0.00273	0.00193	6074.66689	3179.88713	1.00106
log_titer[14]	0.00282	0.00199	5789.73066	3299.0605	1.0004
log_titer[15]	0.09991	0.07066	2876.02911	3057.60593	1.00028
log_titer[16]	0.09959	0.07043	2888.90468	2982.86483	1.00007
log_titer[17]	0.09954	0.0704	2892.52417	3084.21352	1.00018
log_titer[18]	0.00753	0.00547	3736.92876	3181.92979	1.00145
log_titer[19]	0.00732	0.00525	3770.02486	3116.2586	1.00009
