	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat
log_titer_intercept[20]	0.02402	0.01699	1511.42802	2449.07942	1.00258
log_titer_intercept[21]	0.02222	0.01589	1762.12524	2418.60742	1.00319
log_titer_intercept[22]	0.02113	0.01501	1971.57055	2585.38306	1.00179
log_titer_intercept[23]	0.02187	0.01547	1909.22177	2405.04522	1.00204
log_titer_intercept[24]	0.02392	0.01717	1554.48085	1889.88196	1.00218
log_titer_intercept[25]	0.02189	0.01548	1912.02996	2701.63093	1.00179
log_titer_intercept[26]	0.02089	0.01492	2049.1531	2582.25893	1.00095
log_titer_intercept[27]	0.01287	0.00915	1325.65987	1981.54576	1.00185
log_titer_intercept[28]	0.0125	0.00886	1278.2322	1961.43795	1.00108
log_titer_intercept[29]	0.01258	0.00894	1282.45269	2042.22957	1.00119
log_titer_intercept[30]	0.02139	0.01518	1889.24109	2232.40952	1.00125
log_titer_intercept[31]	0.02261	0.01608	1716.29822	2371.855	1.0036
log_titer_intercept[32]	0.02292	0.01639	1727.14852	2391.97471	1.00127
log_titer_intercept[33]	0.02301	0.01627	1746.899	2312.38095	1.00074
log_titer_intercept[34]	0.02261	0.01626	1746.42637	2062.49091	1.00147
log_titer_intercept[35]	0.02148	0.01546	1911.09002	2240.34007	1.0026
log_titer_intercept_decentered[0]	0.01517	0.01112	1610.797	1929.29303	1.00065
log_titer_intercept_decentered[1]	0.01639	0.01166	1383.26564	2100.32754	1.0009
log_titer_intercept_decentered[2]	0.01391	0.01042	2954.57661	2533.51609	1.00147
log_titer_intercept_decentered[3]	0.01566	0.0157	4013.22917	2811.21908	1.00044
log_titer_intercept_decentered[4]	0.01601	0.0143	3906.82184	3488.06573	1.00254
log_titer_intercept_decentered[5]	0.01555	0.01571	4310.60447	3184.55822	0.99975
log_titer_intercept_decentered[6]	0.0147	0.01386	4293.64071	3168.27179	1.0005
log_titer_intercept_decentered[7]	0.01552	0.01526	4216.42615	2731.16975	1.00047
log_titer_intercept_decentered[8]	0.01465	0.01556	4434.69754	2994.45913	1.00008
log_titer_intercept_decentered[9]	0.01036	0.00733	1854.42154	1999.37542	1.00189
log_titer_intercept_decentered[10]	0.01305	0.00924	2027.53607	2577.98549	1.00089
log_titer_intercept_decentered[11]	0.01057	0.00747	1822.77574	2556.34419	1.00104
log_titer_intercept_decentered[12]	0.01678	0.01187	1072.78055	1931.13444	1.0049
log_titer_intercept_decentered[13]	0.01678	0.01187	996.15405	1963.01932	1.00568
log_titer_intercept_decentered[14]	0.01677	0.01187	995.11435	1885.29406	1.00499
log_titer_intercept_decentered[15]	0.01439	0.01491	4691.73796	2847.21488	1.00086
log_titer_intercept_decentered[16]	0.01575	0.01497	4033.75381	3034.45274	1.00116
log_titer_intercept_decentered[17]	0.01492	0.01465	4426.10854	3475.48614	1.00077
log_titer_intercept_decentered[18]	0.01549	0.01364	3932.30946	3372.42961	1.00117
log_titer_intercept_decentered[19]	0.01546	0.01448	3698.27075	2802.52128	0.9998
log_titer_intercept_decentered[20]	0.0146	0.01472	4448.24232	2848.66332	1.00026
log_titer_intercept_decentered[21]	0.01476	0.0156	4548.03202	3191.65726	1.00029
log_titer_intercept_decentered[22]	0.01596	0.01612	3959.99425	3067.1312	1.00249
log_titer_intercept_decentered[23]	0.01513	0.01595	4477.3984	3164.14002	1.00077
log_titer_intercept_decentered[24]	0.0164	0.01511	3726.60111	2906.005	0.99961
log_titer_intercept_decentered[25]	0.01438	0.01673	4853.56376	2999.04361	1.00345
log_titer_intercept_decentered[26]	0.01514	0.01502	4396.03883	3350.66827	1.00159
log_titer_intercept_decentered[27]	0.01352	0.00956	1438.21073	2214.14596	1.00258
log_titer_intercept_decentered[28]	0.01205	0.00852	1418.47658	1850.77681	1.00445
log_titer_intercept_decentered[29]	0.01273	0.00906	1457.13414	2042.51445	1.00398
